Sample.ID,Sex,Batch,WBC,NEUT
JAXW202.2544,M,17,6.3,1450.26
JAXW202.2550,M,17,6.42,1323.8
JAXW202.2551,M,17,7.96,1366.73
JAXW202.2555,M,17,5.8,466.32
JAXW202.2556,M,17,10.74,1284.5
JAXW202.2558,M,17,5.16,978.34
JAXW202.2561,M,17,5.2,1033.76
JAXW202.2563,M,17,6.66,1540.46
JAXW202.2564,M,17,4.68,1021.64
JAXW202.2566,M,17,8.16,1283.57
JAXW202.2567,M,17,4.76,880.6
JAXW202.2568,M,17,7.76,1091.06
JAXW202.2570,M,17,3.08,417.96
JAXW202.2571,M,17,11.22,1006.43
JAXW202.2572,M,17,10.92,905.27
JAXW202.2573,M,17,11.94,1512.8
JAXW202.2574,M,17,9.44,1450.93
JAXW202.2575,M,17,12.56,1355.22
JAXW202.2576,M,17,6.06,893.24
JAXW202.2577,M,17,10.36,923.08
JAXW202.2578,F,16,9.32,1368.18
JAXW202.2580,F,16,5.06,699.29
JAXW202.2581,F,16,6.2,1023
JAXW202.2582,F,16,8.24,1061.31
JAXW202.2583,F,16,5.56,1458.39
JAXW202.2584,F,16,5.56,664.42
JAXW202.2585,F,16,4.42,647.09
JAXW202.2586,F,16,5.44,972.13
JAXW202.2587,F,16,6.4,1340.8
JAXW202.2588,F,16,2.9,649.89
JAXW202.2589,F,16,4.9,459.62
JAXW202.2590,F,16,3.98,542.47
JAXW202.2594,F,16,8.42,1298.36
JAXW202.2595,F,16,12.58,1791.39
JAXW202.2596,F,16,4.98,1318.7
JAXW202.2598,F,16,6.94,1322.76
JAXW202.2599,F,16,3.92,1340.64
JAXW202.2600,F,16,3.84,995.71
JAXW202.2601,F,16,2.36,417.48
JAXW202.2602,F,16,5.88,929.04
JAXW202.2603,F,16,2.96,366.74
JAXW202.2604,F,16,4.12,1055.13
JAXW202.2606,F,16,8.14,1057.39
JAXW202.2608,F,17,10.3,907.43
JAXW202.2609,F,17,5.2,751.92
JAXW202.2610,F,17,7.6,871.72
JAXW202.2624,F,18,3.18,642.68
JAXW202.2627,F,18,9.64,980.39
JAXW202.2632,F,18,7.09,1120.22
JAXW202.2633,F,18,8.2,1135.7
JAXW202.2634,M,18,4.66,663.58
JAXW202.2636,M,18,5.32,963.45
JAXW202.2637,M,18,5.78,520.2
JAXW202.2638,M,18,5.74,867.89
JAXW202.2642,M,18,2.5,374
JAXW202.2643,M,18,4.96,535.68
JAXW202.2645,M,18,7.5,1142.25
JAXW202.2648,M,18,7.28,897.62
JAXW202.2649,M,18,5.04,435.96
JAXW202.2650,M,18,4.74,1311.56
JAXW202.2651,M,18,9.02,725.21
JAXW202.2655,M,18,8.02,1315.28
JAXW202.2657,M,18,5.12,1295.36
JAXW202.2659,M,18,7.28,1201.2
JAXW202.2663,M,18,7.52,1287.42
JAXW202.2665,F,18,5.98,572.29
JAXW202.2667,F,18,6.86,1575.74
JAXW202.2671,F,18,8.32,945.98
JAXW202.2672,F,18,11.64,1562.09
JAXW202.2675,F,18,5.62,1161.09
JAXW202.2677,F,18,11.16,1363.75
JAXW202.2678,F,18,6.28,666.94
JAXW202.2679,F,18,5.8,885.66
JAXW202.2680,F,18,4.62,718.87
JAXW202.2681,F,18,8.7,1067.49
JAXW202.2683,F,19,4.76,767.79
JAXW202.2686,F,19,5.9,654.9
JAXW202.2687,F,19,12.16,1136.96
JAXW202.2688,F,19,9.06,1872.7
JAXW202.2689,F,19,5.84,564.73
JAXW202.2692,F,19,4.94,599.22
JAXW202.2693,F,19,2.6,486.98
JAXW202.2694,F,19,5.8,614.22
JAXW202.2695,F,19,7.34,899.15
JAXW202.2697,F,19,5.62,563.12
JAXW202.2698,F,19,6.2,890.94
JAXW202.2699,F,19,9.16,619.22
JAXW202.2703,F,19,4.36,465.65
JAXW202.2704,F,19,3.64,484.48
JAXW202.2706,F,19,9.18,429.62
JAXW202.2707,F,19,8.82,1340.64
JAXW202.2708,F,19,7.34,921.17
JAXW202.2711,F,19,6.7,712.88
JAXW202.2712,F,19,12.7,1363.98
JAXW202.2713,F,19,9.22,1254.84
JAXW202.2715,F,19,5.16,780.71
JAXW202.2716,F,19,6.6,1154.34
JAXW202.2719,F,19,7.86,987.22
JAXW202.2720,F,19,3.68,342.98
JAXW202.2721,F,19,4.24,517.28
JAXW202.2722,F,19,3.78,495.94
JAXW202.2723,F,19,7.34,1123.75
JAXW202.2724,F,19,10.04,1657.6
JAXW202.2725,F,19,9.64,1310.08
JAXW202.2726,F,19,7.18,453.06
JAXW202.2727,F,19,5.08,325.12
JAXW202.2728,F,19,9.94,841.92
JAXW202.2729,F,19,2.92,335.51
JAXW202.2730,F,19,3.84,274.94
JAXW202.2731,F,19,4.4,572.88
JAXW202.2732,F,19,6.18,594.52
JAXW202.2733,F,19,6.08,435.94
JAXW202.2734,F,19,6.04,474.14
JAXW202.2735,F,19,4.1,567.03
JAXW202.2736,F,19,6.3,549.99
JAXW202.2737,F,19,5.9,362.26
JAXW202.2738,F,19,12.06,1291.63
JAXW202.2739,F,19,10.06,1428.52
JAXW202.2740,F,19,6.66,594.74
JAXW202.2741,F,19,8.06,948.66
JAXW202.2742,F,19,6.1,520.33
JAXW202.2743,F,18,5.08,1172.97
JAXW202.2744,F,19,6.64,403.71
JAXW202.2745,F,19,3.8,343.14
JAXW202.2746,F,19,5.36,417.01
JAXW202.2748,F,19,10.22,618.31
JAXW202.2749,F,19,7.58,782.26
JAXW202.2753,F,19,9.18,934.52
JAXW202.3001,M,1,6,975
JAXW202.3002,M,1,6.14,676.6
JAXW202.3003,M,1,5.24,811.7
JAXW202.3004,M,1,6.92,698.2
JAXW202.3005,M,1,5.96,312.9
JAXW202.3006,M,1,5.76,391.1
JAXW202.3008,M,1,6.9,924.6
JAXW202.3009,M,1,6.48,1358.9
JAXW202.3010,M,1,13.36,1102.2
JAXW202.3011,M,1,7.86,725.5
JAXW202.3012,M,1,7.58,1255.2
JAXW202.3013,M,1,5.32,521.9
JAXW202.3014,M,1,9.7,843.9
JAXW202.3015,M,1,7.2,643
JAXW202.3016,M,1,5.3,697
JAXW202.3017,M,1,3.68,157.9
JAXW202.3018,M,1,3.9,587
JAXW202.3020,M,1,7.66,1287.6
JAXW202.3021,M,1,6.4,649
JAXW202.3025,M,1,4.36,622.2
JAXW202.3026,M,1,3.3,431.6
JAXW202.3027,M,1,6.22,1004.5
JAXW202.3028,M,1,6.22,669.3
JAXW202.3029,M,1,2.54,486.9
JAXW202.3030,M,1,5.06,582.4
JAXW202.3031,M,1,7.74,548.8
JAXW202.3032,M,1,6.42,932.8
JAXW202.3033,M,1,5.1,514.1
JAXW202.3034,M,1,3.12,282.7
JAXW202.3035,M,1,6,677.4
JAXW202.3036,M,1,8.4,809.8
JAXW202.3037,M,1,4.4,396.4
JAXW202.3038,M,1,8.12,570.8
JAXW202.3039,M,1,4.2,866
JAXW202.3040,M,1,3.42,566.4
JAXW202.3041,M,1,6.58,831.7
JAXW202.3042,M,1,12.68,1690.2
JAXW202.3045,M,2,7.12,771.81
JAXW202.3089,F,2,3.72,714.24
JAXW202.3090,F,2,2.26,392.11
JAXW202.3093,F,2,3.7,450.29
JAXW202.3094,F,2,5.02,431.22
JAXW202.3095,F,2,2.5,380.5
JAXW202.3096,F,2,4.84,186.82
JAXW202.3097,F,2,4.18,453.53
JAXW202.3098,F,2,6.2,1269.14
JAXW202.3099,F,2,5.36,254.6
JAXW202.3100,F,2,4.06,321.55
JAXW202.3101,F,2,6.5,596.05
JAXW202.3102,F,2,3.8,563.16
JAXW202.3104,F,2,3.88,278.2
JAXW202.3105,F,2,5.96,353.43
JAXW202.3106,F,2,4.12,746.96
JAXW202.3107,F,2,6.22,455.93
JAXW202.3108,F,2,4.82,552.85
JAXW202.3109,F,2,4.42,335.48
JAXW202.3110,F,2,4.16,543.3
JAXW202.3112,F,2,6.18,833.68
JAXW202.3113,F,2,5.76,786.24
JAXW202.3114,F,2,8.36,735.68
JAXW202.3115,F,2,4.7,657.53
JAXW202.3118,F,2,9.24,464.77
JAXW202.3119,F,2,6.52,685.9
JAXW202.3120,F,2,4.9,486.57
JAXW202.3121,F,2,7.64,685.31
JAXW202.3122,F,2,5.98,697.27
JAXW202.3123,F,2,3.68,345.92
JAXW202.3124,F,2,5.44,529.86
JAXW202.3125,F,2,7.4,524.66
JAXW202.3126,F,2,12.64,661.07
JAXW202.3127,F,2,4.68,446.47
JAXW202.3129,F,2,5.9,738.68
JAXW202.3130,F,2,11.64,1086.01
JAXW202.3131,F,2,4.46,382.67
JAXW202.3132,F,4,7.26,876.28
JAXW202.3133,F,4,8.16,571.2
JAXW202.3134,F,4,6.62,729.52
JAXW202.3135,F,4,5.68,597.54
JAXW202.3136,F,4,4.1,480.93
JAXW202.3137,F,4,5.7,429.78
JAXW202.3138,F,4,2.86,423.85
JAXW202.3139,F,4,5.84,370.26
JAXW202.3140,F,4,7.14,537.64
JAXW202.3141,F,4,12.64,1295.6
JAXW202.3142,F,4,5.52,440.5
JAXW202.3143,F,4,2.54,332.49
JAXW202.3144,F,4,10.26,1310.2
JAXW202.3145,F,4,2.66,380.38
JAXW202.3148,F,4,7,717.5
JAXW202.3149,F,4,2.9,212.57
JAXW202.3151,F,4,4.6,499.1
JAXW202.3152,F,4,4.06,550.54
JAXW202.3153,F,4,6.46,327.52
JAXW202.3154,F,4,7.16,730.32
JAXW202.3155,F,4,3.94,296.68
JAXW202.3156,F,4,10.7,781.1
JAXW202.3157,F,4,7.66,562.24
JAXW202.3158,F,4,4.86,654.64
JAXW202.3159,F,4,7.36,918.53
JAXW202.3160,F,4,5.7,1935.15
JAXW202.3161,F,4,2.78,320.81
JAXW202.3162,F,4,3.84,241.54
JAXW202.3163,F,4,3.96,574.2
JAXW202.3164,F,4,4.74,440.82
JAXW202.3168,F,4,5.72,477.62
JAXW202.3169,F,4,4.74,374.93
JAXW202.3170,F,4,4.1,574.41
JAXW202.3171,F,4,9.46,715.18
JAXW202.3173,F,4,5.48,381.96
JAXW202.3174,F,4,8.88,906.65
JAXW202.3175,F,4,8.46,1444.12
JAXW202.3177,M,8,8.86,2582.69
JAXW202.3178,M,8,6.32,757.136
JAXW202.3179,M,8,6.14,817.234
JAXW202.3180,M,8,7.14,1147.398
JAXW202.3181,M,8,8.64,1275.264
JAXW202.3182,M,8,7.12,1374.16
JAXW202.3183,M,8,6.68,502.336
JAXW202.3184,M,8,4.56,650.256
JAXW202.3185,M,8,4,422.4
JAXW202.3186,M,8,5.2,558.48
JAXW202.3187,M,8,4.96,960.256
JAXW202.3188,M,8,3.44,561.752
JAXW202.3189,M,8,6.34,1266.098
JAXW202.3190,M,8,5.38,1086.76
JAXW202.3191,M,8,6.62,797.048
JAXW202.3193,M,8,5,959.5
JAXW202.3194,M,8,5.34,899.256
JAXW202.3195,M,8,5.28,531.696
JAXW202.3196,M,8,8,930.4
JAXW202.3197,M,8,4.88,319.152
JAXW202.3198,M,8,3.66,513.864
JAXW202.3199,M,8,7.62,970.026
JAXW202.3200,M,8,9.28,1436.544
JAXW202.3201,M,8,5.36,444.344
JAXW202.3202,M,8,4.68,506.376
JAXW202.3203,F,8,6.58,806.708
JAXW202.3204,M,8,3.62,553.498
JAXW202.3205,M,8,8.98,1150.338
JAXW202.3206,M,8,6,834.6
JAXW202.3207,M,8,7.54,947.024
JAXW202.3208,M,8,4.38,522.972
JAXW202.3209,M,8,7.94,1305.336
JAXW202.3210,M,8,4.48,557.76
JAXW202.3211,M,8,3.96,422.136
JAXW202.3212,M,8,6.06,1064.742
JAXW202.3215,M,8,4.64,709.92
JAXW202.3216,M,8,3.2,547.2
JAXW202.3217,M,8,9.58,1086.372
JAXW202.3218,M,8,16.74,2683.422
JAXW202.3219,M,8,4.06,645.946
JAXW202.3220,M,8,7.24,1045.456
JAXW202.3221,M,8,4.2,286.02
JAXW202.3222,M,8,3.84,873.216
JAXW202.3223,M,8,4.84,1085.612
JAXW202.3224,M,8,4.46,600.316
JAXW202.3225,M,8,6.94,859.866
JAXW202.3226,M,8,9.32,1512.636
JAXW202.3227,M,8,8.58,1003.002
JAXW202.3228,M,8,4,337.2
JAXW202.3229,M,7,9,1694.7
JAXW202.3230,M,7,7.14,1700.748
JAXW202.3231,M,7,9.4,1795.4
JAXW202.3232,M,7,5.32,1123.584
JAXW202.3233,M,7,3.66,1128.012
JAXW202.3234,M,7,5.84,1333.272
